Pais,Sede,Red_social,URL
REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,EARGE,Facebook,facebook.com/ArgentinaEnArgelia
REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,EARGE,Instagram,https://instagram.com/argenargelia
REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,EARGE,Twitter,https://twitter.com/ARGenArgelia
REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,EVENE,Facebook,https://www.facebook.com/EmbajadaArgentinaEnVenezuela
REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,EVENE,Instagram,https://www.instagram.com/argenvenezuela/
REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,EVENE,Twitter,https://twitter.com/argenvenezuela?lang=es
REPÚBLICA  CHECA,ECHES,Facebook,https://www.facebook.com/ArgentinaEnRepCheca/
REPÚBLICA  CHECA,ECHES,Instagram,https://www.instagram.com/argentinaenpraga
REPÚBLICA  DE  ANGOLA,EANGO,Facebook,https://www.facebook.com/ArgentinaEnAngola/
REPÚBLICA  DE  ANGOLA,EANGO,Instagram,https://www.instagram.com/embargentinaenangola/
