id_sede,nom_seccion
ERUNI,Sección  Política  y  Coordinación
ESING,Sección  Política  y  Cultural
EISRA,Sección  Política  y  Cultural
EFRAN,"Sección  Política, Asuntos  Juridicos  y  Derechos  Humanos"
EBOLV,"Sección  Política, Fronteras, Defensa  y  Seguridad"
EESPA,"Sección  Política, Prensa  y  Comunicación"
ECOLO,"Sección  Política, Tecnología  y  Ciencia"
EPBAJ,Sección  Política/Jurídica  
CSHAN,Sección  Prensa
ERUNI,Seccion  Prensa
EECUA,Sección  Prensa
EARGE,Sección  Prensa
CRECI,Sección  Prensa
EHILE,Sección  Prensa
EVIET,Sección  Prensa  y  Cultura
ECEUR,Sección  Prensa  y  Diplomacia  Pública
ESSED,"Sección  Prensa, Redes  Sociales  y  Comunicación"
DITIC,Sección  prueba
CSHAN,Sección  Turismo
EALEM,Sección  Turismo
CRIOJ,Sección  Turismo
EMEXI,"Secciones  Cooperación, Educación, Turismo  y  Belice"
EHILE,Secretaría  Privada
CNYOR,Turismo
CNYOR,Visas
